TweetID                Likely Language
446353489590222848     eu
445171429525716992     es
448596974271729664     eu
448223278419963904     eu
441915279887851520     es
442438275211747328     es
448225278905827328     es
444025829207834624     eu
450029605790175232     eu
442430082523873280     eu
450281278064304128     es
441901982971092992     eu
445867700888543232     es
445302657377632256     eu
446182875151761408     eu
440563610591326208     eu
443125944027738114     eu
440450315603959808     eu
449841588219695104     es
450067959151857665     eu
446049613641170944     es
445680382248513536     eu
439735038570405889     eu
440583213363507200     es
440154502742933505     eu
440725059691626496     en
449154578333040640     eu
440839806843891712     eu
440702696811544577     es
448023975202152449     eu
449279792429678592     eu
440106256045719552     eu
442997563135111168     eu
440184448215416832     es
446365025461366784     eu
439720471815540737     eu
448351500419747840     eu
441624985778798592     eu
447458569429209088     eu
444184968169021441     eu
441225365009498112     eu
441927228608090113     eu
450167298184462336     eu
445927701330010112     eu
446684134786994176     eu
441584692165615616     eu
445598086828552192     es
440117833033592833     eu
447133774766419970     eu
443454039616151552     eu
442336647653646337     eu
450051573159587840     eu
441548690856353792     eu
442753021102276609     eu
448092784701235200     es
445653388051877888     eu
442275361024647168     es
447203457716748288     eu
447696067078135808     eu
443091765261000704     es
443276238476812288     es
448072558521643008     eu
442290959079202816     eu
442593496307105792     es
449080374845775872     es
442115341544873984     eu
448196989424254976     eu
450340350218219520     eu
447150303876743169     eu
444609921448177664     eu
449635079263113216     eu
444799716048797696     eu
440487735401644032     es
439560714219716609     eu
449944959006019585     en
443719838423588864     en
440197427354939392     eu
439710897872068611     es
439929704372375552     es
448210829549510656     eu
441170901812269056     eu
443094402962317313     es
447812388361097217     eu
448233766734278658     eu
449574753142329344     es
443021140081262592     eu
444546724598910976     eu
448077582681276416     eu
443371027973025792     eu
445232656444559360     eu
439520588168982529     eu
442409663968342016     en
445663093142859777     eu
440942965008396288     eu
442222620675944448     eu
443644521650593792     es
442229413149949952     es
443415418037092352     eu
440455206808322048     eu
446756741104304128     eu
448347192840183808     es
450390394925498368     eu
444832651774799872     eu
444835712270336000     eu
449864096562049024     es
449916325142753280     eu
442675098320130048     en
448351759799681024     eu
447880279731228672     eu
440077742554767360     es
448405911863046144     eu
442402021237596160     eu
450251793277403137     eu
448131897110306816     eu
443879427643289600     es
446752629834928128     eu
442645800871821312     eu
446680315604770816     es
449888603171475456     eu
445379813118078976     eu
442229786619174912     eu
441552705497337856     eu
442431711507677184     es
440099256830275584     eu
447864047841861632     pt
442638751886749696     eu
443130838633693184     eu
448539113118269440     es
445130123420123136     es
440241970548867072     ca
444753694501142528     eu
445672864336084992     eu
447212058762051584     pt
447118686894444544     gl
449917414982291456     es
447813922054483969     eu
441205380735975425     eu
446708684471947264     eu
445450204134002688     eu
443486487108419584     eu
441339051816538112     eu
447498962262822912     eu
441243669967159296     es
445217427673321473     es
440957401248714753     eu
449902084117528576     eu
446435024590880768     eu
449169581836603392     eu
443108499330199552     eu
445304279159816192     eu
440157653876998144     eu
442750619720634369     eu
440796812635803648     eu
440584735405146112     es
441979101050834945     eu
448905615801610240     eu
443114924328640514     eu
449608078267535361     eu
443839861246947328     es
441153543526170624     eu
449326528414121984     eu
444749298543382528     es
448369317525356544     eu
446205911540187136     eu
449318110320144384     es
449827071146356736     es
441187573227347968     eu
440958496612569088     eu
443152082653425665     eu
447002435400507392     eu
441249386509524993     eu
441910031723036672     eu
441547634814492672     eu
441627265647271936     eu
447486114652487680     es
450389277663559682     es
443497533483282432     eu
443470949950951424     es
442072892466282497     eu
443503923979382784     eu
445169383221243904     en
447140776393588736     es
450697707460763648     eu
448766183505166336     eu
450190752258490368     eu
447514929403547648     es
446543448129425408     es
447458614362783744     eu
440318860450095104     eu
449805310233174016     eu
440247847070752769     eu
444553638888091648     eu
442029318173388801     eu
450256725153968128     eu
442039413829545984     es
445535591808376832     eu
439520861515964416     es
449576552238682113     es
440395021062516736     eu
448175776157143041     eu
450342096650924032     es
447449338089074688     eu
442451645696589824     eu
446600660159832064     eu
444586142693085185     eu
442409670574350337     eu
441541339759771648     en
442395097754533888     eu
442481990265479168     es
449259909398691840     es
447335268631478272     eu
442921015963049984     es
441909138113966080     es
443489611458027521     es
440253149400825857     es
440971042769481728     es
450078879836041216     es
441819302392782848     es
449463753512595456     eu
444478134898143232     eu
441703613375987712     en
443492369653334016     es
442053817518276608     es
450512662431272960     eu
439902451932491776     es
448210353349230592     eu
439780299590086656     eu
449251680472018944     es
443744490281373696     es
444210377870823425     eu
443080485506678784     es
439536891197915136     eu
448567706699464704     eu
448903337493413888     es
439691259054411776     es
440049729637187584     eu
441191357466832896     eu
449976750496559104     eu
447838138699096064     es
447175934932946944     eu
447882906162450432     eu
444746158368653312     eu
440848592102625280     es
445636051785510913     eu
440584914086686720     eu
443081130766770176     es
440565961016745984     eu
442740483010625536     es
445337310268493824     es
445982178913304576     eu
440850961834475520     eu
440092948802576384     es
442078406008922112     eu
440151562779111424     es
448568740779921408     eu
442072074019143681     eu
449567549454557185     eu
449945923335233536     eu
440260595485786112     es
442408331987390464     eu
440034485351251968     eu
445176088277569536     eu
447711541845315584     eu
447119913124384768     en
442208522940710912     eu
440111430680182784     eu
449825566951489536     eu
439683613379264512     eu
447160124671791104     es
442254516021657600     eu
442245662202421248     eu
445076001614495745     eu
450693985468968960     eu
444976599667339265     eu
450704705036242944     eu
445314112583897089     es
444881680705540097     en
444932584762769408     es
440102329745154049     es
445652719391752192     eu
443527536728096769     es
442698842300248064     ca
443759405008715776     eu
445245970872545280     eu
439764933119868928     eu
444820963944067073     es
445336605373775872     eu
445683215219818496     es
443090866358726656     eu
440092636494700544     es
449890110054866944     eu
440106881353543680     es
447693010747543552     eu
443862793608261632     eu
440091764498898944     eu
450733284956585985     es
450398995970809857     es
450389006392786944     es
445816225818763264     es
440981962551861248     es
442991702924861440     eu
447311357613211648     es
442463578218844160     es
442386572076675074     eu
440780532583235584     es
440168704547258368     eu
446987006695178240     eu
447468330639966208     eu
446991631087304704     es
442298501058547712     eu
446351413418139648     eu
441628165711335424     en
445270854864470017     ca
442706812270571521     es
445172273511948288     eu
441862459369197568     eu
441372345639649280     eu
444782766472040448     eu
442762383329886208     eu
446723027909480449     eu
441925620399083520     es
439376185941049344     eu
442246655182905344     eu
440577765512069120     eu
446887992276566016     es
450018015514750977     eu
444621381071032321     es
446981665798504448     eu
442631370469556224     eu
443115056600211456     eu
444388971460956160     es
449917286091325440     eu
440827019451199488     eu
446662813956984832     eu
439780884057948160     eu
443720496522481664     es
440765676555620352     es
445846582937001984     eu
442565540335583232     eu
447812871087751169     eu
443857733948014593     eu
439936968785264640     eu
440080566147633152     es
445822165842423808     es
440573276084273152     eu
443498453336096768     eu
449643827163561984     eu
441299508098768896     es
444718168146460673     es
442665258273230848     eu
440551023980347392     eu
446006944378400768     eu
441351400300482561     es
440947566226997248     eu
440126728900734976     es
443130294254993408     es
448016490122739712     es
442636767137902592     es
442565452624302080     eu
442793146205102081     eu
446733222958104576     eu
445936055527931904     es
450732087713484800     es
439479705490948096     eu
448577744797184000     eu
443813878192152576     es
448512945816092672     eu
448182533977812992     eu
442203053840936960     eu
448196768418000896     eu
445241474398322688     eu
440456599728324608     en
442230113267384320     eu
449472430202179584     eu
449529643717382144     ca
440243258200182784     es
445142413154484224     es
447135240247840768     es
444768744838287360     es
447696274033487872     es
445191386275774464     es
443051832018210816     ca
448152413485428736     es
445108608725159936     ca
447494416094494721     es
444457865601105921     es
447083307558531073     en
445602337865076736     es
439694878550028288     ca
440574504889503744     es
442102580978941952     es
446406603475271680     es
446766083891298304     es
442405272100028416     es
447398227705614337     ca
447095670579937281     es
449473814494461952     es
442230459343601664     ca
444543943024590848     es
446184049741414400     es
442763246253387776     ca
445287074833633280     ca
448945811888828416     es
446401498478817281     ca
441986663620046848     es
444123079435108352     es
447322578563379200     es
447843664195506176     es
446283728592306176     ca
450699888574353408     ca
440869049753698304     es
450390237911711744     ca
444527923757064192     en
445446025038532608     es
450061064085204992     ca
442416496456007680     es
448547643615354880     es
448576906422943744     es
447710551993765888     es
440898020574371840     es
450329777749372928     es
439920925538938880     ca
448582055732211713     ca
439483158627876864     es
445344973656190976     es
439988720721473536     es
449568674396258305     es
447347012829470720     es
449482691730472961     es
442338253057032192     es
444793600225062912     es
446309567698599936     ca
446802335508234240     es
439553877244137472     es
447989173514174464     ca
444822537177141248     es
447860717530918913     es
440086298305781760     es
447823928191631360     es
448895359386128384     es
450274154173194240     ca
449874982022430720     es
443069580429504512     ca
445085355264704512     ca
444199845612781568     es
447808893394374657     es
449125965495828480     ca
445225229112324096     pt
444605929473187840     es
445970493854998529     ca
447386019307208704     en
447339045484756992     es
446620964273799169     ca
445097022836969472     es
445114999686844416     es
439736016577241088     es
446369849934360577     es
441651145321496576     es
441333139328491520     es
442035504700485632     en
449154745736101888     es
442084501783851008     ca
441155752892583936     es
447399575788474369     ca
442057616702074880     en
449977723642204160     ca
447297606407184384     ca
442613430026272769     es
447456459669131264     ca
444914955163566080     ca
450615025842286592     ca
440193205746020352     es
440655384840503296     es
447367054057046016     es
439803864297242624     ca
450308457519144960     es
448149259222011904     es
449677454106697728     es
443848718987845632     en
447286912886505472     ca
450262104390787072     ca
447849212206915585     ca
450318149473562624     es
443705072682532864     es
444481311865311232     ca
440572524904972288     ca
444428751456436224     es
447314938080808961     ca
448128754989400064     ca
442718162006867968     ca
440754815661273088     es
447423902982369280     es
449150427830177793     es
441088955958968320     es
450736102140559361     es
449499166205829120     ca
445909299475517440     es
440384574544048128     es
447455980109176832     ca
440476940546240512     es
444036942171496448     ca
442686523478409216     es
442462817699233792     es
444993252840980480     ca
450032355164844032     es
444433662621536256     es
447088003463536640     ca
439512804480266240     es
449402394129207296     es
440766803611254784     es
440602722132557825     es
446410758373769216     ca
445179417888030720     es
446006839353044992     es
444886465856946176     es
449561149454163968     ca
442584968439803904     es
449904235409592320     ca
449500915054419968     ca
440249970705592320     pt
445516964870758400     es
445555571916566528     ca
449964801264218112     es
447765863450824704     es
441230524640948224     es
450648685882671105     es
447827183785238529     es
439722161969065984     es
450069259813920768     es
447836192198115328     es
445849219375824896     es
450648895472013313     es
444804960484872192     es
448606731422425089     ca
446364443556200448     es
449270634292736001     es
440944649923231744     es
440159304495407104     en
448908388400107520     ca
449879861755400192     es
440610447268786178     es
443106544084086786     es
449291581200556032     ca
441683020974919680     ca
446582481253568512     es
446715076087922688     es
448562039494295552     es
440945317190848512     ca
445196847498678272     ca
450719037463724032     es
440213564251705345     ca
445434074493378560     en
440751037222105088     es
447829601075863552     es
446023811482533888     ca
446530368905424896     es
447818474979860481     es
449090376142716928     es
449612339554562048     es
441962714303565824     es
449677518166315008     ca
441845377420238848     ca
446022790861582336     ca
443676299480297472     es
443780650123149312     es
445316406968844288     es
439611093196222464     es
440082462283423745     es
444588872346124288     ca
446378319664406528     es
447746374281732096     es
444612435216195584     es
441260646873976832     es
449964803160035328     ca
443469267670155264     ca
445890997822951424     ca
444399727137013760     ca
450358144418742273     es
449099289164517376     es
447105984998432769     ca
440570818993848320     gl
447694555560050688     pt
445022143685095424     es
443781804940886016     es
441173401651007488     ca
447373970183319552     es
444488367657713664     es
448443239994253312     ca
446707695379566592     ca
